                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92156,                0.88514,                      1,                 1.0631,              0.0002369,              0.0002369,              0.0002369
                      2,                0.29115,                0.87568,                      1,                  1.047,             0.00046314,             0.00046314,             0.00046314
                      3,                 0.2299,                0.88514,                      1,                 1.0348,             0.00067761,             0.00067761,             0.00067761
                      4,                0.19241,                0.86757,                      1,                 1.0396,             0.00066099,             0.00066099,             0.00066099
                      5,                0.16363,                0.84595,                      1,                 1.0574,             0.00066099,             0.00066099,             0.00066099
                      6,                0.14078,                0.87838,                      1,                 1.0193,             0.00064331,             0.00064331,             0.00064331
                      7,                 0.1371,                0.89189,                      1,                 1.0172,             0.00062564,             0.00062564,             0.00062564
                      8,                0.12098,                0.89054,                      1,                 1.0161,             0.00060797,             0.00060797,             0.00060797
                      9,                0.10314,                0.89865,                      1,                 1.0058,              0.0005903,              0.0005903,              0.0005903
                     10,                0.08893,                    0.9,                      1,                 1.0056,             0.00057263,             0.00057263,             0.00057263
                     11,                0.09266,                0.91216,                      1,                 0.9944,             0.00055496,             0.00055496,             0.00055496
                     12,                0.09456,                0.88514,                      1,                 1.0166,             0.00053728,             0.00053728,             0.00053728
                     13,                0.07173,                0.87432,                      1,                 1.0247,             0.00051961,             0.00051961,             0.00051961
                     14,                0.08834,                0.89054,                      1,                 1.0163,             0.00050194,             0.00050194,             0.00050194
                     15,                0.07659,                0.90541,                      1,                0.99462,             0.00048427,             0.00048427,             0.00048427
                     16,                 0.0788,                0.89865,                      1,                 1.0141,              0.0004666,              0.0004666,              0.0004666
                     17,                0.06516,                0.89865,                      1,                0.99673,             0.00044893,             0.00044893,             0.00044893
                     18,                0.05598,                0.90405,                      1,                 1.0076,             0.00043126,             0.00043126,             0.00043126
                     19,                0.05803,                0.87703,                      1,                 1.0234,             0.00041358,             0.00041358,             0.00041358
                     20,                0.05828,                0.90135,                      1,                0.99993,             0.00039591,             0.00039591,             0.00039591
                     21,                0.05943,                0.87973,                      1,                 1.0128,             0.00037824,             0.00037824,             0.00037824
                     22,                0.05349,                0.89324,                      1,                  1.015,             0.00036057,             0.00036057,             0.00036057
                     23,                0.04406,                0.90811,                      1,                0.99366,              0.0003429,              0.0003429,              0.0003429
                     24,                0.03787,                0.90541,                      1,                 1.0041,             0.00032523,             0.00032523,             0.00032523
                     25,                0.05062,                 0.9027,                      1,                 1.0109,             0.00030756,             0.00030756,             0.00030756
                     26,                0.04302,                0.90135,                      1,                 0.9994,             0.00028988,             0.00028988,             0.00028988
                     27,                0.03946,                0.88784,                      1,                 1.0115,             0.00027221,             0.00027221,             0.00027221
                     28,                0.04558,                0.90135,                      1,                      1,             0.00025454,             0.00025454,             0.00025454
                     29,                0.04225,                0.90405,                      1,                 1.0012,             0.00023687,             0.00023687,             0.00023687
                     30,                0.03216,                0.90541,                      1,                 1.0032,              0.0002192,              0.0002192,              0.0002192
                     31,                 0.0309,                 0.9027,                      1,                 1.0104,             0.00020153,             0.00020153,             0.00020153
                     32,                0.03406,                0.89595,                      1,                  1.005,             0.00018385,             0.00018385,             0.00018385
                     33,                0.03238,                0.91216,                      1,                0.99188,             0.00016618,             0.00016618,             0.00016618
                     34,                0.02884,                0.90405,                      1,                  1.001,             0.00014851,             0.00014851,             0.00014851
                     35,                0.03425,                0.89324,                      1,                 1.0141,             0.00013084,             0.00013084,             0.00013084
                     36,                0.02783,                0.89865,                      1,                  1.001,             0.00011317,             0.00011317,             0.00011317
                     37,                0.02318,                 0.9027,                      1,                0.99889,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     38,                0.02275,                0.89865,                      1,                  1.015,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     39,                 0.0226,                 0.8973,                      1,                0.99853,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     40,                0.02645,                0.90811,                      1,                0.99428,             4.2483e-05,             4.2483e-05,             4.2483e-05
